term|english
བ་གོར་|family name of Vairotsana; also spelled {spa gor} and {pa gor}
འབག་པ་|ft. of {'bag pa}; pollution, to defile, to pollute one's self; {'bag pa, 'bags pa, 'bag pa} intr. v
བག་པ་|to be afraid, purity
བག་ཕབ་|, phebs - to completely relax, relaxing, becoming lax, to abandon oneself, relaxed, lax, conducive, rest, to abandon oneself, abandoning; phebs - relaxed, lax, conducive, rest; to abandon oneself
བག་ཕེབ་ས་པ་|relaxed, conducive
བག་ཕེབས་པ་|CM: blo sems lhod po'am skyid por gyur pa. E.g.'s., blo bde bag phebs. mi dmangs rnams bag phebs kyis thon skyed ngal rtsol byed du 'jg pa. bag phebs pa'i gtam rnam pa sna tshods glengs ba. [mss]
བག་ཕེབས་པར་བྱེད་པ་|to be open with, speak freely with {de dang bag phebs par byas nas gtam smra bar mi bya} - avoid being too open or having familiar conversations with such people.
བག་ཕེབས་སྨྲ་བ་|to speak freely with
བག་ཕྱེ་|wheat-flour, lute, putty
བག་རེ་དྲོ་|conveys a cheerful warmth
བགས་ཆགས་ནུས་པ་|potency
བག་ཤིས་|fee, a present, alms
འབགས་|involved in
འབག་སྐུ་|sculpted image, statue
བགས་ཀྱིས་|1) gradually. 2) naturally, spontaneously, by nature, by itself
འབགས་ལྷག་|rest, remainder, remnant
འབགས་པ་|contaminate, pollute; pf. of {'bag pa}
བག་སྲེག་|kind of pancakes; pancake
བག་སྟོན་|marriage feast
བག་ཙམ་|for a while; just a little
བག་ཙེ་|basket for wool or clews of wool
བག་ཚ་བ་|anxiety
བག་ཚ་བ་མེད་པ་|intrepid
བག་ཚ་མེད་པ་|fearless
བག་ཚ་|slightly frayed lack of confidence, to have fear, to panic. {nyam nga bag tsha} fear and doubt
བག་ཡངས་|snang ba bag yangs su spyod pa - to relate to apparent phenomena in an easygoing manner
བག་ཡངས་སུ་|be naturally at ease; x {dbang po bag yangs su bzhag} let your senses be naturally at ease
བག་ཡངས་སུ་བཞག་|rest, leave in a relaxed state
བག་ཡངས་སུ་རྒྱུ་བ་|to wander carefree
བག་ཡོད་བདུན་|the seven latent tendencies
བག་ཡོད་བསྟན་པ་|vigilance
བག་ཡོད་|heedfulness/ carefulness; careful/ modest/ discreet; attentiveness, careful, carefulness, heedful, to pay heed, conscientious, mindfulness, to pay heed, mindfulness. Def. by Jamgön Kongtrül: {zag bcas kyi chos rnams las sems srung zhing dge ba'i chos sgom pa}
བག་ཡོད་ཀྱི་ཡན་ལག་|limbs of conscientiousness [abandoning liquor[R]
བག་ཡོད་པ་|conscientious; Conscientiousness, as one of the eleven virtuous mental states, [apramada] conscientiousness, carefulness, mindfulness, to pay head, alertness, conscientious, enabling to keep vows purely, alertness for non-virtuous deeds, attentiveness, attentiveness, wakefulness
བག་ཡོད་པར་བྱས་ཏེ་|be conscientious about it
བག་ཡོད་སྐེ་རག་བཅིངས་|fastened with the sash of mindfulness
བག་ཟོན་|to be careful, cautious, watch out, take care, be cautious, watch out!, carefully, cautious
བ་ཧལ་|bahal
བའི་རྣམ་ལྔ་|the five things of a cow, 1) {lci ba, chu, 'o ma, zho, mar} dung, urine, milk, curd, butter. {ba byung lnga}
བ་འཇོ་བ་|to milk a cow
བ་ཁལ་སྨུག་པོ་|gter ston, 12th cent. revealed gsol 'debs bar chad lam sel
བ་ཀུ་ལ་|Bakkula, important monk follower of the Buddha; Bakula; one of the {'phags pa'i gnas brtan bcu drug} the sixteen [staviras], [arhats]. He dwells on the northern continent of Unpleasant Sound
བལ་|1) Nepal; 2) wool
བ་ལ་ཧ་|mythological horse
བཱ་ལ་|meat, tshogs form
བ་ལང་|an ox; 1) ox, cattle. 2) cow and ox
བ་ལང་བདག་|Gavampati, important monk follower of the Buddha; Gabamyati, took ordination from the Buddha and was a disciple of Shariputra
བ་ལང་བརྟུལ་ཞུགས་|the Indian rule of respecting the cow
བ་ལང་རྫི་|cowherd. [mss]
བ་ལང་སྤྱོད་|Bountiful Cow; one of {gling bzhi} the four continents
བ་ལ་|[Syn {sha chen lnga gang rung}
འབལ་བ་|to part, dress, arrange; {'bal ba, 'bal ba, 'bal ba, 'bol} trans. v
འབལ་|Bhel, in Domey
བལ་བྲུག་བྱེད་པ་|to spin wool
འབལ་དུས་|season of abundance
བ་ལེ་ཀ་|medicinal plant
འབལ་གྱི་མཁར་གོང་ལ་ཁ་|Balgyi Khargong Lakha, one of the Eight Places of the Accomplished Ones of Rekong
འབལ་གཞུང་|Balshung, in Domey
བལ་འཁལ་བ་|to spin yarn
བལ་ཁེལ་|thread from raw wool or cotton
བལ་མ་|fend wool worker
འབལ་མདོ་|Bheldo, in Domey
འབལ་པོ་|abundant, plentiful, copious, rich
བལ་པོའི་རྒྱལ་པོ་བ་སུ་དྷཱ་ར་|the Nepali king Vasudhara
བལ་པོ་|Nepal. Syn {bal}; Nepal
བལ་པོ་སེའུ་|Das: pomegranate tree (bal po se'u shing) E.g. R75: 505.2 [mss]
བལ་རིས་|paintings in Nepali style
བལ་སྐད་|Nepalese, Nepali language
བལ་སྐུད་|knitting wool; woolen gain, knitting wool
འབའ་ལུང་|county in 21th cent Tibet.
བ་ལུ་|small rhododendron bush with yellow flowers, fragrant and used for incense
བལ་ཡུལ་དུ་|in Nepal
བལ་ཡུལ་|Nepal. a district in Tibet. Syn {bal po}
བ་མེན་|1) the bamen deer [looks like a cow]. 2) Syn {ben} 3) Syn {ba ga ya} 4) buffalo-calf. 5) {rkem}
བ་མེན་གྱི་ར་|the horn of the _bamen_ deer; [has a conic shape]
འབམ་|gout
བ་མཁལ་སྨུག་པོ་|Bakal Mukpo, Tertön
བ་མོ་|frost
བ་མོས་ལཧབ༹མ་བྱེད་|she will get up before dawn with only the frost for her shoes,
བམ་པ་|{bam pa, bam pa, bam pa} intr. v
འབམ་པ་|putrefaction, rottenness, to be putrid, rotten
བམ་པོ་བརྒྱད་པ་|Eightfold Volume. Tantra belonging to the Sadhana Section of Mahayoga; focused on Nectar Quality. Tantra with similar title is found in Vol. LA of the Nyingma Gyübum. Possibly identical with the Scripture in Eight Chapters
བམ་པོ་|bundle, division, section, board, chapter, part. shu lo ka sum brgya; bam po kha yar bstan dang le'u kha mar bstan; a volume/ a chapter, section
བམ་རིལ་|dull, weak, worn out, mould
བམ་|rotten, decayed, putrid, mould, fusty, musty
བན་|monk
བན་བུན་|hazy, vague, insubstantial, evanescent, ephemeral, shimmers, vanishing like mist, wisps and billows, {za zi ban bun}; vague and vacillating, to disappear, vanish, dissolve; fog
བན་བུན་ལང་ལོང་|like mist [it appearing but nothing to grasp]
བན་བུན་པོ་|little by little (elusive as mist)
བན་ཆེན་|mahapandita
བན་ཆུང་|a little, a bit, novice, monk; a young monk
བན་དེ་དྲི་མེད་བརྡ་ཤར་|Bende Drimey Dashar. One of the close disciples of Guru Rinpoche. Same of Jnana Kumara of Nyag
བན་དེ་|(Skt) a monk/ mendicant; monk, Buddhist monk, Buddhist
འབན་དྷ་ཧོར་|Syn {sha ra yu gur}
བན་དྷ་|skull, cranium
བན་དྷེ་|a Buddhist priest, a Bon priest
བང་|a foot-race; foot-race, running-match, race, gait; a messenger
བང་བ་|ft. of {bang ba}; {bang ba, bangs pa, bang ba} intr. v.; 2) store-room, store-house, corn magazine, treasury, storage bin
འབང་བ་|to be soaked, macerated; ft. of {'bang ba}; {'bang ba, bangs pa, 'bang ba} intr. v
བང་བུ་|bee; bee, honeybee
བང་ཆེན་|messenger
བང་ཆེན་པ་|a message [will be send]; a swift messenger, courier
བང་ཁང་|storehouse
བང་ཁྲག་|blood from child birth; syn {skyes khrag}
བང་ཁྲི་|stand, frame, rack
བང་མ་|delivery (of baby)
བང་མཛོད་ལྟ་བུའི་སེམས་བསྐྱེད་|treasury-like resolve
བང་མཛོད་|treasuries {rgyal po'i bang mdzod rnams kyang zad} the king's treasuries became depleted
བང་མི་ལྡང་|gallop (?)
བང་ཕྱིན་|{'phral gyi mngags gzhug dang bang phyin} to serve his daily needs or to carry messages for him
བང་རིམ་བཞི་|four steps
བང་རིམ་|terrace
བང་རྩལ་གྲན་སྡུར་བྱེད་པ་|to run a race
བང་རྩལ་གྲན་སྡུར་|race
འབངས་|1) people, subject, commoner, citizen. 2) servant, attendant. 3) disciple
འབངས་གཞན་|king's servants
བང་སོ་དམར་པོ་|Emperor Songtsen Gampo's Tomb
བང་སོ་|grave, burial, tomb; royal tomb; grave, tomb, sepulcher, monument
བངས་པ་|pf. of {bang ba}; pf. of {'bang ba}
འབངས་རྣམས་|the people
འབངས་རུ་འཁོར་ནས་|become a follower
བང་སྟེགས་|bracket
འབངས་ཐམས་ཅད་|all the people of the land
བན་མ་བུན་མ་|wisps and billows [about clouds]
བན་མ་བུན་|{snang ba ban ma bun du bgro} appearances will become insubstantial like mist
བན་ཤུལ་|Benshul, at Mangra Kha in Domey
བ་ནུ་|1) nursing calf; 2) {ba nu} mineral med [shaped like a nursing calf[R]
བ་ཕྱུགས་|cattle, cows
འབའ་པོ་|magician, sorcerer, conjurer
འབའ་ར་བ་རྒྱལ་མཚན་དཔལ་བཟང་པོ་|great master of the 'brug pa bka' rgyud; 1310-1391
འབའ་ར་བྲག་དཀར་|the monastery of {'ba' ra brag} in {shangs}
འབའ་ར་དཀར་བརྒྱུད་ཀྱི་ཆོས་སྤྱོད་|the collected liturgical texts of the monastery of {'ba' ra brag} in {shangs} and its affiliates and liturgical texts focusing upon Chakrasamvara according to the {'ba' ra} tradition
བ་ར་ན་སི་|Varanasi, Benares
བ་རན་|n. of a place
འབར་བ་|to be alight
འབར་བ་ཆེན་པོ་ཧེ་རུ་ཀ་|Great Blazing Heruka
འབར་བ་གསུམ་|Three Blazes. The blazing of blissful warmth in the body {lus la bde drod 'bar ba} the blazing of potency in speech {ngag la nus pa 'bar ba} and the blazing of realization in the mind {sems la rtogs pa 'bar ba}
འབར་བའི་དཀྱིལ་དུ་མཆོངས་པ་|jumping into a blazing circle of fire
འབར་བའི་གར་དགུ་|[TRS 149-4]
འབར་བའི་མེས་བསྲེག་པའི་དམྱལ་བ་|the hells burn with blazing fires
འབར་བའི་ཉམས་དགུ་|the nine expressions of splendor [of a heruka, 1) {sgeg dpa'}. 2) {dpa' ba} 3) {'jigs su rungs} 4) {rgod} 5) {gshed} 6) {rngam par ston} 7) {snying rje} 8) {zhi} 9) {khrod ba}
འབར་བའི་ཕྱག་རྒྱ་|the flaming mudra, mudra of splendor
འབར་བའི་རྡོ་རྗེ་|{gter ston}
འབར་བའི་རྣམ་རོལ་|flaming, blazing, display of manifestations
འབར་བ་ཁྲོ་བོའི་ལྷ་ཚོགས་|the blazing wrathful deities
འབར་བ་ལྔ་བཅུ་རྩ་བརྒྱད་|the fifty-eight blazing [deities]
འབར་འབར་|a high, pointed hill
བར་བ་|the middle one
བར་བསྐལ་|antahkalpa, intermediate aeon. Syn {bar gyi bskal pa}
བར་བསྐལ་བཞི་|four intermediate aeons
བར་བསྐལ་ཉི་ཤུ་|twenty intermediate aeons
བ་རྦུ་ར་|1) of a variegated or spotted color. 2) gold. 3) yellow pigment
བ་རྦུ་རི་|yellow pigment
འབར་འབུར་|slopes and curves, bumpy, uneven in surface
བར་ཆད་བཅུ་དྲུག་|the sixteen obstacles, {le lo bya ba mang ba}, {sems g.yeng}, {sems rgod}, {sems sdug pa}, {sems rjes 'brang}, {sems rmugs pa}, {rtog pa mang}, {re ba mang}, {dogs pa mang}, {'dod chags che}, {brtson 'grus chung}, {gnyid dga'}, {kha ton klog}, {kha ton 'bri}, {bre mo'i gtam}, {cal col smra}
བར་ཆད་བསྲུང་|held back hindrances
བར་ཆད་བྱེད་|[possible] obstacles
བར་ཆད་|obstacle, interruption, hindrance, interruption, obstruction, interference; obstacle (inanimate); obstructer (animate); intermediate state, 2) accident, mishap, danger, problem
བར་ཆད་དྲི་བ་|conduct an inquiry to determine potential impediments [for a candidate wishing to receive ordination]
བར་ཆད་གཅིག་པར་|with one single interval
བར་ཆད་གསུམ་|the three obstacles, 1) {phyi rol gdon gyi bar chad} of demons in the external world. 2) {'byung ba lus 'khrugs kyi bar chad} of physical disturbance, 3) {ting nge 'dzin sems kyi bar chad} of the mind in samadhi]
བར་ཆད་ཀུན་སེལ་|Dispeller of All Obstacles. Lamey Tukdrub Barchey Künsel
བར་ཆད་ཀུན་སེལ་ཀྱི་ཆོས་སྐོར་|Barchey Künsel Cycle of Teachings. Here is a short introduction to the Barchey Künsel cycle: The Barchey Künsel is the heart essence of the accomplished master Padmasambhava who perceives the three times in the entirity. It is the quintessence of one billion heart sadhanas of the Guru, the most unique terma buried in the land of Tibet; and it is the first among the Four Cycles of Guru Sadhana. This Guru's Heart Practice that Dispels all Obstacles contains in completeness all the profound key points of the view, meditation and conduct of the Three Inner Yoga Tantras. It manifested from the secret treasury of the great wisdom, the vast realization of the Second Buddha of Uddiyana, as the self-existing natural vajra sounds in perfect melodious tones. Its expressions that are unmodified by the intellect of ordinary people, its words that are without delusion, and its meaning that is unmistaken, are exclusively due to the kindness of the three powerful knowledge-holders [Khyentse, Kongtrül, and Chokling], the great beings of the three families, who incarnated as masters to compile and propagate an ocean of secret teachings. It is exclusively through their kindness that this teaching was established in writing as the splendor of unending welfare and happiness for the disciples in the Land of Snow, and propagated to flourish everywhere. This pure and perfect teaching, which effortlessly bestows, in accordance with one's wishes, the all-encompassing supreme and common siddhis, temporaily and ultimately, was an unprecedented diffusion of the gemstones of the profound meaning, like opening up for the treasury of the universal monarch. DILGO KHYENTSE] About the Barchey Künsel practice, which is the first and most extensive of the Four Cycles of Guru Sadhana, Jamgön Kongtrül says in his Seed of the Great Sal Tree: _Generally, for the basic descriptions of how to practice this, take the third chapter taught in the Sheldam Nyingjang as basis and apply them, following your teacher's oral advice, in the extensive, medium or short version, whichever is appropriate, and in accordance with the situation in terms of place, time, and type of person. Whether you begin development or completion, first perform the general preliminaries of the fourfold mind-training and the four special preliminaries. For the main part, according to the system of Terchen Chokgyur Lingpa, take Sheldam Nyingjang as basis, and first practice Dharmakaya Amitayus followed by the Lotus Magical Net of Sambhogakaya, the Great Compassionate One [Avalokiteshvara]. After that, combine the extensive or medium version with the Nirmanakaya [Padmasambhava], whichever is suitable, and complete the set number [of recitations] for approach and accomplishment. Following that, it is necessary to perform successively the specific approaches, combining the twelve manifestations with Trinley Nyingpo, and complete the four activities and the four ancillary practices as well as the practice of the teaching guardians. According to the system of the omniscient master, Padma Ösel Do-Ngak Lingpa [Jamyang Khyentse Wangpo], perform, as the beginning of the main part, the single mudra according to the Gyüngyi Köljang, the Daily Practice Manual, as 'approach'; the condensed outer mandala of Trinley Nyingpo as the 'full approach;' Trinley Dringpo, the Medium Practice Manual, as 'accomplishment;' and Trinley Gyepa, the Extensive Practice Manual, together with Dzapkyi Köljang, the Recitation Manual, and so forth in a detailed way for the 'great accomplishment.' The samadhis and visualizations for recitation of these should conform with the root text of the third chapter [of Sheldam Nyingjang]. Having properly performed the four aspects of approach and accomplishment, perform then the 'specific practices' such as those for Dharmakaya, Sambhogakaya and so forth, whichever is suitable. There is no difference between following either of these two systems since they both are lords of these profound teachings._
བར་ཆད་ཀུན་སོལ་|dispel all obstacles!
བར་ཆད་ལམ་སེལ་|Clearing the Obstacles of the Path. A supplication to Guru Rinpoche
བར་ཆད་མེད་བཅས་|the state without impediments
བར་ཆད་མེད་ལམ་|Uninterrupted path. The 'path' or 'basis' that is the remedy for directly eradicating the defilements that are to be abandoned on one's present path and which thereby ensures that no other interruptions can hinder the arising of the wisdom that is the result of one's particular path
བར་ཆད་མེད་པ་|uninterruptedly, unbroken
བར་ཆད་མེད་པའི་ལམ་|the path of no interruption
བར་ཆད་མེད་པའི་ཏིང་ངེ་འཛིན་|unhindered samadhi; unimpeded concentration
བར་ཆད་མེད་པར་ཕེབས་|arrived safely
བར་ཆད་མེད་པར་|without mishap, without obstacles
བར་ཆད་སེལ་བའི་ལྷ་བཞི་|the four deities clearing obstacles, {'phags ma sgrol ma}, {mi g.yo ba}, {rdo rje be con}, {sme ba brtsegs pa}
བར་ཆད་སྲུང་བ་|protective ritual against obstacles
བར་ཆོད་བྱེད་པའི་མི་དགེ་བ་|{dge ba'i bar chad byed pa'i chos rnams bar chod byed pa'i mi dge ba} 'Obstructive nonvirtues' are all phenomena that create hindrance to virtue.
བར་ཆོད་པ་|to prevent
བར་ཆོད་|{sa kha thag ring pos bar chod} great distances will separate us
བར་དོ་|intermediate state/ interval (between death and rebirth)
བར་དོ་བ་|intermediate state beings
བར་དོ་བཞི་|the four bardos, [of birth place, dying, dharmata, and becoming]. see {bar do drug}
བར་དོ་དང་པོ་|First bardo. Usually the moment of _ground luminosity._
བར་དོ་དང་པོ་གཞིའི་འོད་གསལ་|Ground luminosity of the first bardo
བར་དོ་དང་པོའི་འོད་གསལ་|Luminosity of the first bardo. Same as _mother luminosity._
བར་དོ་དང་པོ་འོད་གསལ་|luminosity of the first bardo
བར་དོ་དྲུག་|the six bardos, {gnas lugs gzhi'i bar do} the ground bardo of the natural condition, {'od gsal ting nge 'dzin gyi bar do} the bardo the samadhi bardo of luminosity, {'khrul snang rmi lam gyi bar do} the dream bardo of deluded experience, {'byung 'khrugs 'chi ka'i bar do} the death bardo of disturbed elements, {lhun grub chos nyid kyi bar do} the dharmata bardo of spontaneous presence, {srid pa las kyi bar do} the karmic bardo of becoming]. Syn {the six bardos}, {skye gnas kyi bar do} the bardo of the place of birth, {rmi lam gyi bar do} of dream, {bsam gtan gyi bar do} of meditation, {'chi kha'i bar do} of the moment of death, {chos nyid kyi bar do} of dharmata, {srid pa'i bar do} of becoming
བར་འདོད་|sensual realm (?)
བར་དོ་དུས་ཀྱི་སྒྲོན་མ་|the lamp of the time of the bardo
བར་དོ་གསུམ་པ་|Syn {chos nyid bar do}
བར་དོའི་གནས་སྐབས་|the bardo state
བར་དོའི་འགྲོ་བ་|the beings in the bardo state
བར་དོའི་འཁྲུལ་སྣང་|bardo hallucinations {bar do'i 'khrul snang 'jigs skrag drag po} the terrifying hallucinations of the bardo
བར་དོའི་འཕྲང་|{rgyus med cha med bar do'i 'phrang ring po} the long, narrow, unfamiliar, unpredictable track of the bardo
བར་དོའི་འཕྲང་རིང་པོ་|the tortuous paths of the bardo
བར་དོའི་འཕྲང་རིང་|the long, tortuous path of the bardo
བར་དོའི་རླུང་ལུས་|the prana-body of the intermediate state
བར་དོའི་རྣམ་ཤེས་འཁྱམས་པོ་|a consciousness wandering in the intermediate state
བར་དོའི་སྐད་ཅིག་བཞི་སྣང་ཚུལ་|the way the bardo manifests, appearing-mode of the bardo, a vision of the bardo
བར་དོའི་སྐད་ཅིག་བཞི་|the four bardo moments. 1) {snang ba}. 2) {mched pa} 3) {thob pa} 4) {nye bar thob pa}
བར་དོའི་སྣང་ཚུལ་|a vision of the bardo, the way the bardo appears, appearing mode of the bardo
བར་དོའི་སྲིད་པ་|Bardo state, the intermediate existence
བར་དོ་ཁྱད་པར་བ་|the particular intermediate state
བར་དོར་འདའ་བ་|one kind of phyir mi 'ong 'bras gnas/ Def: phyir mi 'ong 'bras gnas yin pa gzhir byas nas/ tshangs chen ma gtogs pa'i gzugs khams bcu drug gang yang rung ba'i rten gyi bar do la mya ngan 'da' ba'i rigs can no
བར་དོར་|in the intermediate state
བར་དོ་རྗེས་དྲན་|one of the {rjes dran drug}
བར་དོར་འཁྱམས་པ་|to rove for no purpose in the interval between death and regeneration
བར་དོར་འཁྱམས་|roaming through the bardo
བར་དོར་མཇལ་བ་|{mos gus med bzhin bar dor mjal ba mtshar} with no devotion, to meet the teacher in the intermediate state would be miraculous!
བར་དོ་རྣམ་བཞི་|Four Bardos. or Intermediate States. The inter mediate state of the condition of birth {skye gnas kyi bar do} the intermediate state of the moment of death {'chi kha'i bar do} the intermediate state of reality {chos nyid bar do} and the intermediate state of rebirth {srid pa bar do}
བར་དོ་རྣམ་ཤེས་|the consciousness of the beings traveling in the intermediate state
བར་འདོས་བྱེད་པ་|to make peace between, pacify
བར་དོ་སྒྱུ་མ་|the illusory state of the bardo
བར་དོ་སྣང་ཚུལ་|the way the bardo manifests, appearing-mode of the bardo, a vision of the bardo
བར་དོ་ཐོས་གྲོལ་|widely known as the Tibetan Book of the Dead, from the zhi khro dgongs pa rang grol revealed by Karma Lingpa
བར་དོ་ཐོས་གྲོལ་ལུགས་ལུགས་ཀྱི་གསུམ་|1) {chos sku 'od dpag med mgon}. 2) {longs sku spyan ras gzigs shi ba dang khro bo pad ma rta mgrin} 3) {sprul sku 'dro mgon pad ma 'byung gnas}
བར་དུ་|then
བར་དུ་བླ་མ་བསྟེན་ལ་མཁས་པ་|in the middle, skillfully follow the teacher
བར་དུ་ཆད་ཅིང་འཇུག་པ་|interruptedly engaging
བར་དུ་དགེ་བ་|subsequent benefit; {thog mar dge ba} initial benefit; {tha mar dge ba} final benefit
བར་དུ་གཅོད་པ་|disrupters, hindrances, impediment, interruption, to cause hindrance
བར་དུ་གཅོད་པའི་ཆོས་རྣམས་གཞན་དུ་མི་འགྱུར་བར་ངེས་པའི་ལུང་བསྟན་པ་ལ་མི་འཇིགས་པ་|fearlessness according to the definitive prophetic declarations that these things which are intermittently cut off on the path. do not change into something else
བར་དུ་གཅོད་པའི་ཆོས་|the impediments
བར་དུ་ལམ་|the path in between
བར་དུ་ཚོགས་བསགས་ཚུལ་|how [the Buddha] gathered the accumulations in between
འབར་འཛག་|blazes up and flows down, blazing and dripping / trickling down
འབར་འཛགས་ཀྱི་རྣལ་འབྱོར་བསྒོམ་པ་|to practice the yoga of blazing and dripping
བ་རྫི་|cow herdsman
བ་རྫི་མ་|cowherdess
བ་རེ་བེ་རེ་|1) sluggish, careless. 2) getting drunk, slightly tipsy
བར་གཅོད་|obstructing, interrupting, making obstacles
བར་གཅོད་པ་|to cause obstacles, obstruct
བར་གནས་|buffer
བར་གསེབ་|CM: bar srubs sam khrod, in the middle (opening?) or in, among, side of. E.g., nags tshal gyi bar gseb nas bltas pa ri dags mthong, Looking in the middle of/an opening in the forest he saw deer. MG: for khrod: i) side (of) Å  ri'i khrod du, on the side of the mountain. ii) in, among Å  mi dmangs kyi khrod du, among the people. [mss]
བ་རྒྱ་|CM: 'bu sdom gyi thag dra, the web of a spider. 2) MG: web, cobweb, spider's web. [mss]
བར་གྱི་བསྐལ་པ་|intermediate aeon, [bskal chung bzhi]; an intermediary cycle of an aeon (an aeon has 20 int. cycles)
བར་ཧྲུབ་|in between
བ་རི་ལོ་ཙཱ་བ་|Bari Lotsawa; (1040-1111), contemporary of Milarepa, important lineage holder in early Sakya
བར་|x {de ltar lan drug gi bar de bzhin byung ste} six times it happened like this
འབར་ཁམས་|county in 21th cent Tibet.
བར་ཁང་|the second, middle story, chamber
བར་ཁ་རྟ་ཟམ་|Barkha Tasam, at Kailash
བར་ཁེ་|brokerage / fee
བར་ཁེ་ཟ་བ་|broker
བར་ཁྱམས་|corridor; hall, foyer. colonnade
བར་ལ་|during; in the meantime
བར་ལག་འགྱེལ་|to fall apart, dividing line erased
བར་ལ་ལྡེ་བརྒྱད་|8 Groups of Space (Tibetan kings)
བ་རླ་ལེགས་པར་ཟླུམ་པ་|well-rounded thighs. one of the {skyes bu chen po'i mtshan sum bcu rtsa gnyis} the thirty marks of a great being
བར་ལ་ལེགས་པར་ཟླུམ་པ་|well-rounded thighs. one of the {skyes bu chen po'i mtshan sum bcu rtsa gnyis} the thirty marks of a great being
བར་ལིག་|a field, estate
བར་མ་|1) neutral. 2) middle, intermediate, 3) between. 4) those [feelings] between [pleasure and suffering]
འབར་མ་བརྒྱད་|eight Barma; belongs also under {lhag mgron}
བར་མ་ཆད་པ་|uninterruptedly
བར་མ་ཆོད་པར་|x {rnam rtog gzhan gyis bar ma chod par} never letting any other thought get in the way
བར་མ་དོའི་སྲིད་པ་|Intermediate existence
བར་མ་འདོན་པར་བྱེད་པ་|belonging to the middle country, mid-lander
བར་མ་དོར་བར་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བ་|to attain complete nirvana in the bardo
བར་མའི་ཆོས་འཁོར་|the intermediate promulgation
བར་མའི་སྡོམ་པའི་དགེ་མི་དགེ་|Mipham Rinpoche: {dus sogs kyi rgyun 'jug pa'i nges pa med par thad ka thad kar dge mi dge byed pa ste de ni sdom sdom min gang yang min ste de dus kyi rnam par rig byed kyi las yin no} The virtue or nonvirtue of the limited vows is the temporary doing of virtue or nonvirtue, not necessarily on a constant basis. It is neither a [positive] vow nor a negative vow, and it is the perceptible action at that particular time.
བར་མའི་སྡོམ་པ་|'limited vow'; Mipham Rinpoche: {dus ji 'dod zhig tu dge ba'am mi dge ba gang yin la 'jug pa thob pa ste, dper na zla ba gcig gi bar du zas ma zos gong du sangs rgyas la phyag 'tshal bar byed do snyam pa lta bu zla gcig gi bar du dge ba'i sdom pa thob pa dang, yang zla gcig gi bar du log par g.yem par bya'o snyam du dam bcas pas thob pa mi dge ba lta bu'o} The 'Limited vow' is obtained [by pledging] to engage in either virtue or nonvirtue for a certain chosen duration. For example, by thinking: _For one month, I will pay homage to the Buddha before taking my meal,_ one obtains a virtuous vow for the duration of one month. Or, by deciding, _For one month, I will engage in sexual misconduct,_ you obtain the unvirtuous [vow].
བར་མའི་སྟོང་གི་འཇིག་རྟེན་གྱི་ཁམས་|Intermediate Thousandfold World System; Mipham: {gling bzhi ri rab 'dod lha drug tshangs pa'i 'jig rten dang bcas pa la gling bzhi pa'i 'jig rten gyi khams zhes bya la, de stong la dang po spyi phud stong gi 'jig rten zhes bya'o, de stong la bar ma'i stong gi 'jig rten gyi khams dang, de stong la stong gsum gyi stong chen po'i 'jig rten zhes bya ste, de na gling bzhi pa'i 'jig rten bye ba phrag brgya ste ther 'bum re yod pa de ni mchog gi sprul sku gcig gi 'dul zhing ngo} The four continents, Mount Sumeru, the [abodes of the] six desire gods, along with the Abode of Brahma, are called a Four Continent World System. One thousand of these are called a First Order Thousandfold World System. One thousand such world systems are called an Intermediate Thousandfold World System. One thousand of these world systems are called a Great Billionfold World System that contains one billion Four Continent Worlds, and it is the domain of influence of a single supreme nirmanakaya.
བར་མའི་སྟོང་གྱི་འཇིག་རྟེན་གྱི་ཁམས་|one thousand {dang po spyi phung gi 'jig rten} or 1,000,000 universes of four continents. the intermediate thousand fold world system, [one million {gling bzhi'i 'jig rten} one thousand {dang po spyi phud stong gi 'jig rten} ]
བར་མ་རབ་བྱུང་|the pre-novice vows of a monk
བར་མེད་|Syn {bstir med}
བར་མེད་དུ་|uninterruptedly, without break
བར་མེད་འཁོར་བ་|revolves continuously
བར་མེད་པ་|seamless, continuous, constant, incessant, unremitting, perpetual, perennial, unbroken
བར་མི་བྱེད་པ་|to arbitrate
བར་མཚམས་|a gap; in the spaces between, in between; boundary, interruption
བར་མཚམས་བཞག་པ་|to leave in abeyance
བར་མཚམས་ཆད་པ་|to stop, halt, pause
བར་མཚམས་མེད་པ་|without a break
བར་མཚམས་ན་|in the gaps, in-between, in the spaces between, the gaps between
བར་མཚམས་སུ་|the brake between. e.g. teaching
འབའ་རོམ་བཀའ་བརྒྱུད་|Barom Kagyü. The lineage founded by Barom Dharma Wangchuk
འབའ་རོམ་དར་མ་དབང་ཕྱུག་|Barom Dharma Wangchuk. A disciple of Lord Gampopa who founded the Barom Monastery in northern Lato and who is regarded as the father of the Barom Kagyü lineage
འབའ་རོམ་དགོན་པ་|Barom Monastery; the seat of {'ba' rom dar ma dbang phyug}
འབའ་རོམ་པ་དར་མ་དབང་ཕྱུག་|Syn {'ba' rom dar ma dbang phyug}
བར་འོས་པ་|appropriate
བར་པ་བསྐང་བཤགས་|amendment-confession offering
བར་པ་མཚན་ཉིད་རྒྱུའི་ཐེག་པ་|the middle teaching on metaphysics of the casual vehicle
